TESS_ID,RAdeg,DEdeg,Gao_Period,CCProb,Type,Gaia_dr3_source_id,ra,dec,vbroad,vbroad_error,Psini,e_P_sini,pm,pmra,pmdec,radial_velocity,parallax,parallax_error,phot_g_mean_mag,bp_rp,teff_gspphot,logg_gspphot,gaia_source_id,par_source_id,mass_flame,mass_flame_lower,mass_flame_upper,radius_flame,lum_flame,age_flame,radius_gspphot,radius_gspphot_lower,radius_gspphot_upper,mg_gspphot,mg_gspphot_lower,mg_gspphot_upper,ag_gspphot,mh_gspphot,ebpminrp_gspphot,authors_used,flux_kinds_used,n_usable_sectors,sector_numbers_downloaded,raw_points_per_sector,kept_points_per_sector,kept_frac_per_sector,sector_ls_json,time_min_btjd,time_max_btjd,baseline_days,n_points_total,flux_mean,flux_std,fmin,fmax,n_freq,power_min,power_max,power_median,n_peaks,threshold,best_idx,best_freq,best_period_days,period_err_days,T0_btjd,best_power,best_power_over_median,IsBinary,DoublePeriod,CorrectedPeriod,P_Sussholz/P_Gao,under3sig
672624,73.50533,-27.0563,0.559035,0.54,ROT,4.88059822009442E18,73.50546641,-27.05630837,111.07249,5.4410563,0.720863099,0.035312585,28.153566,28.07213801,-2.139712008,17.82998,9.177796707,0.20139264,8.479574,0.6575031,6231.3154,3.9962,4.88059822009442E18,4.88059822009442E18,1.2887144,1.2467425,1.330867,1.6645191,3.7535026,3.348711,1.5826,1.5029,1.6546,3.3659,3.2731,3.4708,0.0358,-0.7843,0.0195,"[""SPOC""]","[""PDCSAP""]",3,"[5, 32, 98]","[17148, 123757, 237082]","[17148, 123757, 237082]","[0.9997084208070912, 0.9558166406748709, 0.9811035844138315]",,1438.0729402113625,4045.9024190637633,2607.829478852401,368034,0.9999891982602153,0.004342545,0.004,4,240000,1.7498532936709877E-9,0.3814521191265166,1.6052752596773114E-4,5419,1.9263303116127736E-4,106700,1.780562402343343,0.5616203052945131,8.402753676855124E-5,1438,0.3814521191265166,2376.241188711743,,,0.5616203052945131,1,X
1118593,36.45749,-10.62692,0.862748,0.51,ROT,5.17506451080137E18,36.45753476,-10.62699569,23.733358,1.4350023,3.406265828,0.205954813,20.14434,9.48859847,-17.76966461,17.848093,9.748592454,0.029040063,7.896548,0.4555912,6969.1025,4.1212,5.17506451080137E18,5.17506451080137E18,1.4561526,1.4161161,1.496207,1.6044346,5.4801993,1.3028419,1.5979,1.5745,1.606,2.8465,2.836,2.8725,0.0011,-0.5072,6.0E-4,"[""SPOC""]","[""PDCSAP""]",2,"[4, 31]","[14819, 16168]","[14819, 16168]","[0.999662595316823, 0.9995051954477981]",,1410.9078998820246,2169.9487335459817,759.0408336639571,30974,1.0000557233641119,0.001008335,0.004,4,240000,2.649275285145153E-10,0.28222525547419186,6.105209373468174E-4,1652,7.326251248161808E-4,69375,1.159098562910679,0.8627394011160212,6.196483776715273E-4,1410,0.28222525547419186,462.2695770282301,,V,0.8627394011160212,1,V
4496649,347.22252,-6.80418,1.333846,0.58,ROT,2.63167524422181E18,347.222393,-6.804191852,21.739,1.5257907,2.969608807,0.20842732,28.328989,-28.20430731,-2.654924825,-0.45083258,6.452117582,0.02050586,9.652572,0.61307716,6359.1226,4.2558,2.63167524422181E18,2.63167524422181E18,1.2153367,1.175318,1.2554398,1.2772362,2.4066663,2.014646,1.276,1.2718,1.2804,3.7068,3.6994,3.7141,0.002,-0.2489,0.0011,"[""SPOC""]","[""PDCSAP""]",1,[42],[8990],[8990],[1.0],,2447.696587,2469.8315140477976,22.13492692117734,8990,1.0000559560700777,0.001074769,0.004,4,240000,5.840074659770775E-7,0.23534183834679656,3.931465483523957E-4,40,4.717758580228748E-4,44879,0.7512384634935979,1.3311352501169185,0.14497581806268123,2447,0.23534183834679656,598.6109742869944,,V,1.3311352501169185,1,V
5480687,149.48084,-21.47987,0.389176,0.51,ROT,5.67007440379211E18,149.4808243,-21.47992746,111.555466,7.811603,1.061465646,0.07432848,12.160557,-2.697346232,-11.85763349,-23.146334,2.779212332,0.020292312,10.015573,0.5447264,6824.0107,3.8327,5.67007440379211E18,5.67007440379211E18,1.6504403,1.6098937,1.6910113,2.326694,10.587859,1.5504199,2.3405,2.3216,2.3624,2.1021,2.0804,2.1166,0.1278,-0.5998,0.069,"[""SPOC""]","[""PDCSAP""]",1,[35],[13689],[13689],[0.9999269486448974],,2255.823582033547,2279.983560838872,24.159978805324954,13688,1.0036395121449444,0.024837321333042364,0.004,4,240000,5.447175761237846E-8,0.9661289870264299,5.880924609050816E-4,55,7.057109530860979E-4,154083,2.569492639552665,0.3891818892986184,0.004952937,2255,0.9661289870264299,1642.8181812423602,V,V,0.3891818892986184,1,V
5966705,193.32636,-22.94591,0.49557,0.58,ROT,3.49914772477881E18,193.3262254,-22.94594243,58.146156,5.769561,1.740104758,0.172662154,28.902414,-28.1563824,-6.524394781,-79.39927,3.348130419,0.021012304,10.230487,0.69625473,6469.2856,4.0047,3.49914772477881E18,3.49914772477881E18,1.4533849,1.413041,1.4936987,1.9917676,6.259086,2.2906823,1.9999,1.9852,2.0213,2.6409,2.6241,2.6566,0.2199,-0.0648,0.1184,"[""SPOC""]","[""PDCSAP""]",1,[10],[15044],[15044],[0.9996676415846849],,1571.3079323213997,1595.685822567014,24.377890245614253,15039,0.9984403516025001,0.009147196,0.004,4,240000,3.6215692554815077E-9,0.6426538708988829,3.2084587428244965E-4,47,3.8501504913893955E-4,120948,2.0177925908024616,0.4955910753950718,0.008236116,1571,0.6426538708988829,2002.9987056437467,V,V,0.4955910753950718,1,V
6671953,284.69495,-51.39986,1.544831,0.52,ROT,6.65775816994617E18,284.695057,-51.3998564,15.990262,1.8317304,4.078675689,0.467224005,15.1187315,15.11857842,0.068037368,-2.691225,6.105439395,0.013474787,9.769568,0.617033,6347.3267,4.2239,6.65775816994617E18,6.65775816994617E18,1.2106005,1.1705977,1.2506061,1.2905003,2.4358459,2.2571483,1.2891,1.2863,1.2919,3.7045,3.7,3.7091,4.0E-4,-0.3857,2.0E-4,"[""SPOC""]","[""PDCSAP""]",1,[13],[34040],[34040],[0.999882491186839],,1657.3103410035512,1682.3616406195667,25.051299616015513,34036,1.0000878249653307,0.002278146,0.004,4,240000,2.965073508289126E-9,0.16233644975530223,3.2136256407009646E-4,39,3.856350768841157E-4,38618,0.646992379,1.5456132595210625,0.092637581,1657,0.16233644975530223,505.1504683659823,,,1.5456132595210625,1,V
7584049,272.52805,47.0888,0.885215,0.55,ROT,2.12235214938053E18,272.5281909,47.08873363,39.31095,2.925046,2.054676765,0.152884223,27.085842,22.30816008,-15.36192816,3.8469098,6.615709321,0.012212946,8.750292,0.466465,6967.6484,4.1331,2.12235214938053E18,2.12235214938053E18,1.4518663,1.4118547,1.4918796,1.5922956,5.3848224,1.2840894,1.5965,1.5934,1.5999,2.8436,2.8395,2.8477,7.0E-4,-0.4134,4.0E-4,"[""SPOC""]","[""PDCSAP""]",8,"[14, 26, 40, 52, 54, 74, 80, 81]","[14290, 16941, 137330, 87522, 125444, 116212, 116308, 127188]","[14290, 16941, 137330, 87522, 125444, 116212, 116308, 127188]","[0.9994401679496151, 0.9994687444660882, 0.9513580426709386, 0.9552341125659835, 0.9643267115206785, 0.9838054589887447, 0.9786257179213812, 0.9771126206874863]",,1683.3557422462666,3533.1789442007653,1849.8232019544987,718866,1.0002337157978956,0.004035613,0.004,4,240000,3.2315606099939545E-10,0.3601960167340919,6.90642052432314E-5,3097,8.287704629187768E-5,67774,1.132441801840841,0.8830475865289057,3.635317059980377E-4,1683,0.3601960167340919,5215.379160095275,,,0.8830475865289057,1,X
7586485,63.59405,-38.3171,1.754747,0.85,ROT,4.84461821390365E18,63.59427435,-38.31709376,17.7466,1.853305,3.105991072,0.324363472,40.15831,40.09191139,2.308365676,20.848545,12.60630105,0.010970849,8.946541,0.77020264,5828.6987,4.29,4.84461821390365E18,4.84461821390365E18,1.0007269,0.9607149,1.0407413,1.085408,1.2251039,6.6386623,1.0895,1.0883,1.0906,4.4351,4.4329,4.437,5.0E-4,-0.286,3.0E-4,"[""SPOC""]","[""PDCSAP""]",4,"[4, 5, 31, 32]","[14983, 17279, 117131, 123851]","[14983, 17279, 117131, 123851]","[0.999666288460255, 0.9998842525609121, 0.956706593472266, 0.956132772444308]",,1410.905450736981,2200.2353902331083,789.3299394961273,262733,0.9998801553126179,0.008204903,0.004,4,240000,3.197724232010457E-10,0.7387738702764433,2.511845418576935E-5,1647,3.014214502292322E-5,33988,0.5699025579273247,1.754685930234976,0.002665742,1410,0.7387738702764433,29411.597736575262,,,1.754685930234976,1,V
7694175,273.34839,45.59092,0.888305,0.55,ROT,2.11541945369018E18,273.3483615,45.59083585,37.699814,2.9523606,2.220857369,0.173920534,20.053303,-5.014733831,-19.41616363,7.285088,7.199632009,0.015393869,8.499926,0.46130466,6939.5566,4.0879,2.11541945369018E18,2.11541945369018E18,1.4683226,1.4281484,1.5091363,1.6698499,5.8348794,1.4384191,1.6549,1.6013,1.6672,2.7921,2.7826,2.8368,0.0116,-0.5651,0.0063,"[""SPOC""]","[""PDCSAP""]",8,"[14, 25, 26, 40, 52, 53, 74, 81]","[18424, 17246, 16893, 19611, 15878, 16994, 16805, 16551]","[18424, 17246, 16893, 19611, 15878, 16994, 16805, 16551]","[0.9994029526704299, 0.999478139858518, 0.9997040194163263, 0.9993880985161389, 0.9998110593273712, 0.9998234671060374, 0.9999404939006248, 0.9998187420699656]",,1683.355896021175,3533.177812332765,1849.8219163115898,138355,1.000714220812403,0.006167463,0.004,4,240000,3.603319053273923E-10,0.29264191144710294,9.738613627180705E-5,3353,1.1686336352616846E-4,67378,1.1258483743682266,0.8882190735152531,3.021231981296569E-4,1683,0.29264191144710294,3004.9647994077136,,,0.8882190735152531,1,V
7866187,234.3206,-32.05732,0.817523,0.65,ROT,6.01620008010743E18,234.32043,-32.05742206,62.525646,3.102966,1.366495339,0.06781519,39.858162,-32.72681855,-22.75144688,-5.2415853,9.461617434,0.027395064,7.838083,0.4548564,6967.163,4.0768,6.01620008010743E18,6.01620008010743E18,1.4861778,1.4460814,1.5266742,1.7024119,6.170492,1.4213502,1.6888,1.6488,1.6982,2.7296,2.7192,2.7576,0.0047,-0.5534,0.0026,"[""SPOC""]","[""PDCSAP""]",1,[38],[18252],[18252],[0.9992877492877493],,2334.1964387943376,2360.5565197075816,26.36008091324402,18239,1.0020650469302046,0.009632151,0.004,4,240000,1.0558583793705493E-8,0.44073789872948116,6.771114145134218E-4,44,8.125336974161061E-4,73225,1.2232013300055418,0.8175269070345677,0.019040141329710887,2334,0.44073789872948116,650.9089778765571,,,0.8175269070345677,1,V
